Date;Price;Open;High;Low;Vol.;Change %
06/28/2005;2,071.30;2,063.51;2,072.35;2,062.49;;0.38%
06/24/2005;2,063.51;2,068.64;2,071.26;2,058.19;;-0.25%
06/23/2005;2,068.64;2,088.93;2,094.81;2,068.23;;-0.97%
06/22/2005;2,088.93;2,075.26;2,093.25;2,075.26;;0.66%
06/21/2005;2,075.26;2,053.94;2,075.61;2,050.70;;1.04%
06/20/2005;2,053.94;2,065.54;2,067.80;2,053.02;;-0.56%
06/17/2005;2,065.54;2,058.48;2,066.80;2,056.42;;0.34%
06/16/2005;2,058.48;2,041.00;2,066.71;2,041.00;;0.86%
06/15/2005;2,041.00;2,024.98;2,042.03;2,019.15;;0.79%
06/14/2005;2,024.98;2,014.12;2,026.55;2,014.07;;0.54%
06/13/2005;2,014.12;2,017.49;2,025.66;2,003.31;;-0.17%
06/10/2005;2,017.49;2,005.48;2,018.89;2,005.45;;0.60%
06/09/2005;2,005.48;2,010.32;2,010.91;2,003.59;;-0.24%
06/08/2005;2,010.32;2,006.48;2,012.95;2,006.48;;0.19%
06/07/2005;2,006.48;2,011.18;2,017.83;2,006.20;;-0.23%
06/06/2005;2,011.18;2,012.91;2,026.49;2,011.18;;-0.09%
06/03/2005;2,012.91;2,005.98;2,015.28;2,000.63;;0.35%
06/02/2005;2,005.98;1,985.33;2,007.20;1,981.30;;1.04%
06/01/2005;1,985.33;1,968.78;1,989.90;1,968.72;;0.84%
05/31/2005;1,968.78;1,969.51;1,978.82;1,968.55;;-0.04%
05/30/2005;1,969.51;1,951.01;1,969.51;1,951.01;;0.95%
05/27/2005;1,951.01;1,940.73;1,957.97;1,940.73;;0.53%
05/26/2005;1,940.73;1,934.59;1,947.30;1,933.36;;0.32%
05/25/2005;1,934.59;1,940.49;1,951.96;1,933.62;;-0.30%
05/24/2005;1,940.49;1,953.90;1,955.45;1,937.32;;-0.69%
05/20/2005;1,953.90;1,955.13;1,963.85;1,948.61;;-0.06%
05/19/2005;1,955.13;1,962.72;1,965.82;1,951.24;;-0.39%
05/18/2005;1,962.72;1,950.13;1,968.92;1,950.13;;0.65%
05/17/2005;1,950.13;1,928.96;1,951.18;1,928.96;;1.10%
05/16/2005;1,928.96;1,949.95;1,953.51;1,921.53;;-1.08%
05/13/2005;1,949.95;1,965.21;1,965.22;1,937.38;;-0.78%
05/12/2005;1,965.21;1,977.05;1,977.05;1,965.12;;-0.60%
05/11/2005;1,977.05;1,987.77;1,988.72;1,968.73;;-0.54%
05/10/2005;1,987.77;1,996.83;1,999.12;1,985.76;;-0.45%
05/09/2005;1,996.83;1,993.43;2,005.40;1,993.72;;0.17%
05/06/2005;1,993.43;1,988.49;1,994.05;1,982.93;;0.25%
05/05/2005;1,988.49;1,992.39;2,001.44;1,978.03;;-0.20%
05/04/2005;1,992.39;1,972.85;1,992.54;1,973.18;;0.99%
05/03/2005;1,972.85;1,961.45;1,980.68;1,961.20;;0.58%
05/02/2005;1,961.45;1,956.98;1,962.30;1,952.95;;0.23%
04/29/2005;1,956.98;1,947.71;1,956.98;1,945.44;;0.48%
04/28/2005;1,947.71;1,949.84;1,954.75;1,935.21;;-0.11%
04/27/2005;1,949.84;1,976.15;1,978.71;1,948.21;;-1.33%
04/26/2005;1,976.15;1,964.61;1,985.17;1,964.61;;0.59%
04/25/2005;1,964.61;1,982.20;1,988.81;1,963.21;;-0.89%
04/22/2005;1,982.20;1,989.84;1,990.24;1,982.05;;-0.38%
04/21/2005;1,989.84;1,989.80;1,994.15;1,977.06;;0.00%
04/20/2005;1,989.80;1,990.48;2,001.53;1,988.49;;-0.03%
04/19/2005;1,990.48;1,978.11;1,992.91;1,975.45;;0.63%
04/18/2005;1,978.11;1,963.66;1,978.73;1,958.27;;0.74%
04/15/2005;1,963.66;1,976.41;1,989.87;1,963.18;;-0.65%
04/14/2005;1,976.41;1,997.57;2,001.62;1,961.59;;-1.06%
04/13/2005;1,997.57;2,008.03;2,020.17;1,996.36;;-0.52%
04/12/2005;2,008.03;1,996.89;2,011.54;1,996.82;;0.56%
04/11/2005;1,996.89;1,992.53;1,998.48;1,988.99;;0.22%
04/08/2005;1,992.53;1,988.31;2,004.92;1,988.20;;0.21%
04/07/2005;1,988.31;1,974.23;1,988.40;1,971.63;;0.71%
04/06/2005;1,974.23;1,959.26;1,979.03;1,959.26;;0.76%
04/05/2005;1,959.26;1,950.33;1,962.43;1,947.94;;0.46%
04/04/2005;1,950.33;1,955.89;1,955.91;1,943.08;;-0.28%
04/01/2005;1,955.89;1,961.69;1,970.34;1,955.19;;-0.30%
03/31/2005;1,961.69;1,953.19;1,970.98;1,952.68;;0.44%
03/30/2005;1,953.19;1,941.65;1,953.99;1,941.65;;0.59%
03/29/2005;1,941.65;1,968.84;1,981.10;1,940.94;;-1.38%
03/28/2005;1,968.84;1,942.75;1,970.54;1,942.75;;1.34%
03/24/2005;1,942.75;1,922.79;1,948.20;1,922.82;;1.04%
03/23/2005;1,922.79;1,941.35;1,942.17;1,921.75;;-0.96%
03/22/2005;1,941.35;1,950.11;1,959.71;1,941.19;;-0.45%
03/21/2005;1,950.11;1,936.30;1,951.21;1,936.30;;0.71%
03/18/2005;1,936.30;1,923.01;1,939.39;1,923.00;;0.69%
03/17/2005;1,923.01;1,913.84;1,923.23;1,913.84;;0.48%
03/16/2005;1,913.84;1,902.51;1,915.80;1,901.82;;0.60%
03/15/2005;1,902.51;1,892.77;1,903.31;1,892.05;;0.51%
03/14/2005;1,892.77;1,910.55;1,913.88;1,891.11;;-0.93%
03/11/2005;1,910.55;1,929.29;1,930.51;1,906.58;;-0.97%
03/10/2005;1,929.29;1,933.93;1,935.38;1,924.66;;-0.24%
03/09/2005;1,933.93;1,934.63;1,940.81;1,929.84;;-0.04%
03/08/2005;1,934.63;1,915.91;1,935.01;1,910.01;;0.98%
03/07/2005;1,915.91;1,920.72;1,924.68;1,915.27;;-0.25%
03/04/2005;1,920.72;1,928.29;1,928.71;1,919.66;;-0.39%
03/03/2005;1,928.29;1,917.34;1,934.87;1,917.34;;0.57%
03/02/2005;1,917.34;1,912.70;1,920.94;1,909.64;;0.24%
03/01/2005;1,912.70;1,895.20;1,912.77;1,891.02;;0.92%
02/28/2005;1,895.20;1,887.33;1,901.70;1,887.33;;0.42%
