"Periodo,""1.Dow Jones, EE.UU."",""2.Nasdaq, EE.UU."",""3.FTSE100, Reino Unido"",""4.Nikkei, Japón"",""5.CAC40, Francia"",""6.DAX, Alemania"",""7.KOSPI, Corea del Sur."",""8.CSI 300, China."",""9.FTSE Bursa Malaysia KLCI, Malasia."",""10.WIG, Polonia."",""11.MOEX Rusia, Rusia."",""12.Bangkok SET, Tailandia."",""13.TWSE, Taiwán, Provincia de China."",""14.BIST, Turquía."",""15.MERVAL, Argentina."",""16.IBOVESPA, Brasil."",""17.COLCAP, Colombia."",""18.S&P/BMV IPC , México."",""19.IGBVL, Perú."""
"06.Apr.1990,""2,717.12"",""430.90"",""2,221.10"",""29,278.78"",""2,069.89"",""1,947.84"",""831.73"","""",""540.14"","""","""","""",""10,440.67"",""0.34"",""90.70"",""0.00"","""","""",""0.60"""
"09.Apr.1990,""2,722.07"",""430.18"",""2,227.70"",""30,397.93"",""2,083.90"",""1,923.86"",""816.78"","""",""532.04"","""","""",""835.34"",""9,814.54"",""0.34"",""94.86"",""0.00"","""","""",""0.58"""
"10.Apr.1990,""2,731.08"",""431.90"",""2,217.50"",""29,624.68"",""2,075.38"",""1,898.51"",""810.76"","""",""538.84"","""","""",""842.13"",""9,725.89"",""0.33"",""89.59"",""0.00"","""","""",""0.56"""
"11.Apr.1990,""2,729.73"",""433.53"",""2,215.50"",""29,440.28"",""2,103.10"",""1,893.77"",""813.66"","""",""555.19"","""","""",""844.80"",""9,781.98"",""0.33"",""95.86"",""0.00"","""","""",""0.56"""
"12.Apr.1990,""2,751.80"",""436.31"",""2,222.10"",""29,623.20"",""2,116.66"",""1,918.17"",""806.86"","""",""556.82"","""","""","""",""9,978.86"",""0.32"","""","""","""","""",""0.58"""
"13.Apr.1990,"""","""","""",""29,213.92"","""","""",""803.15"","""","""","""","""","""",""9,603.72"",""0.33"","""","""","""","""","""""
"16.Apr.1990,""2,763.06"",""436.70"","""",""28,463.18"","""","""",""777.00"","""",""553.18"","""","""",""843.79"",""9,419.32"",""0.32"",""98.28"",""0.00"","""","""",""0.60"""
"17.Apr.1990,""2,765.77"",""435.42"",""2,214.50"",""28,461.60"",""2,126.34"",""1,914.35"",""796.56"","""",""553.26"","""","""",""843.97"",""9,291.61"",""0.32"",""98.16"",""0.00"","""","""",""0.64"""
"18.Apr.1990,""2,732.88"",""431.52"",""2,205.90"",""29,249.06"",""2,098.68"",""1,889.76"",""781.53"","""",""550.39"","""","""",""835.90"",""8,994.40"",""0.33"",""101.10"",""0.00"","""","""",""0.68"""
"19.Apr.1990,""2,711.94"",""429.00"",""2,184.70"",""29,945.41"",""2,097.12"",""1,878.87"",""768.31"","""",""546.47"","""","""",""834.90"",""8,830.57"",""0.33"",""102.90"",""0.00"","""","""",""0.71"""
"20.Apr.1990,""2,695.95"",""425.79"",""2,187.10"",""29,835.44"",""2,129.32"",""1,884.33"",""767.45"","""",""541.88"","""","""",""840.56"",""9,292.39"",""0.33"",""99.66"",""0.00"","""","""",""0.73"""
"23.Apr.1990,""2,666.67"",""420.08"",""2,159.20"",""29,679.07"",""2,089.77"",""1,837.50"",""774.40"","""",""532.12"","""","""",""844.55"",""9,428.63"","""",""98.75"",""0.00"","""","""",""0.75"""
"24.Apr.1990,""2,654.50"",""419.19"",""2,159.90"",""29,501.38"",""2,101.40"",""1,830.53"",""768.47"","""",""524.48"","""","""",""842.04"",""9,607.73"","""",""93.95"",""0.00"","""","""",""0.77"""
"25.Apr.1990,""2,666.44"",""420.56"",""2,143.20"",""29,564.36"",""2,091.57"",""1,843.31"",""755.07"","""",""527.06"","""","""",""847.03"",""9,576.74"","""",""91.72"",""0.00"","""","""",""0.81"""
"26.Apr.1990,""2,676.58"",""421.06"",""2,133.60"",""29,424.58"",""2,072.16"",""1,827.07"",""726.11"","""","""","""","""",""854.82"",""9,517.83"","""",""99.68"",""0.00"","""","""",""0.83"""
"27.Apr.1990,""2,645.05"",""417.98"",""2,106.60"",""29,584.80"",""2,066.27"",""1,825.52"",""748.86"","""","""","""","""",""859.36"",""9,713.78"","""",""94.53"",""0.00"","""","""",""0.85"""
"30.Apr.1990,""2,656.76"",""420.07"",""2,103.40"","""",""2,046.46"",""1,813.25"",""688.66"","""",""520.57"","""","""",""855.97"",""9,292.37"",""0.33"",""96.77"",""0.00"","""","""",""0.87"""
"01.May.1990,""2,668.92"",""421.84"",""2,117.90"",""29,689.83"","""","""",""718.45"","""","""","""","""","""",""8,734.93"",""0.33"","""","""","""","""","""""
"02.May.1990,""2,689.64"",""423.58"",""2,137.50"",""30,173.64"",""2,066.03"",""1,843.41"","""","""",""518.53"","""","""",""851.25"",""8,574.54"",""0.34"",""98.52"",""0.00"","""","""",""0.86"""
"03.May.1990,""2,696.17"",""425.44"",""2,134.70"","""",""2,098.95"",""1,881.79"",""750.82"","""",""520.13"","""","""",""856.45"",""8,502.28"",""0.36"",""96.07"",""0.00"","""","""",""0.85"""
"04.May.1990,""2,710.36"",""428.61"",""2,162.10"","""",""2,102.64"",""1,912.89"",""782.33"","""",""531.33"","""","""",""862.97"",""8,624.70"",""0.38"",""96.75"",""0.00"","""","""",""0.86"""
"07.May.1990,""2,721.62"",""431.23"","""",""30,956.27"",""2,119.83"",""1,934.95"",""791.56"","""",""550.31"","""","""",""862.97"",""8,880.16"",""0.40"",""95.01"",""0.00"","""","""",""0.86"""
"08.May.1990,""2,733.56"",""431.84"",""2,182.30"",""30,970.58"","""",""1,899.28"",""796.54"","""",""554.73"","""","""","""",""8,948.49"",""0.41"",""91.60"",""0.00"","""","""",""0.86"""
"09.May.1990,""2,732.88"",""431.34"",""2,162.70"",""30,945.61"",""2,103.69"",""1,896.58"",""793.36"","""","""","""","""",""875.13"",""8,922.67"",""0.39"",""92.78"",""0.00"","""","""",""0.84"""
"10.May.1990,""2,738.51"",""433.20"",""2,157.00"",""30,980.26"",""2,104.56"",""1,893.42"",""771.76"","""",""552.20"","""","""",""870.74"",""8,426.41"",""0.40"",""98.65"",""0.00"","""","""",""0.85"""
"11.May.1990,""2,801.58"",""438.10"",""2,175.90"",""31,512.14"",""2,091.85"",""1,875.03"",""762.27"","""",""555.26"","""","""",""877.71"",""8,417.08"",""0.40"",""103.20"",""0.00"","""","""",""0.88"""
"14.May.1990,""2,821.53"",""441.61"",""2,214.50"",""32,042.65"",""2,090.14"",""1,860.33"",""734.42"","""",""562.83"","""","""",""887.78"",""8,275.02"",""0.40"",""108.40"",""0.00"","""","""",""0.92"""
"15.May.1990,""2,822.45"",""442.50"",""2,212.20"",""31,997.04"",""2,070.67"",""1,851.25"",""724.76"","""",""559.74"","""","""",""889.80"",""8,569.55"",""0.40"",""105.20"",""0.00"","""","""",""0.94"""
"16.May.1990,""2,819.68"",""442.93"",""2,221.10"",""31,967.62"",""2,070.70"",""1,841.77"",""756.87"","""",""557.82"","""","""",""894.03"",""8,059.14"",""0.39"",""106.40"",""0.00"","""","""",""0.96"""
